round,name,address,region,lat,lng
"262","태극로또전문점","경기 이천시 애련정로 124-2","31","37.28148","127.4503"
"262","대박로또복권","강원 원주시 관설동  1771-6패밀리마트관설에버빌점","32","37.315277","127.96166"
"263","GS25(관악한일)","서울 관악구 남현동  602-11 한일빌딩 1층","11","37.473976","126.981316"
"263","-","서울 서초구 서초동  1591-3 탑스벤처빌딩 1층 서초마트내","11","37.48711","127.01316"
"263","왕대박로또방","부산 해운대구 좌동  998-7 1층","21","35.160866","129.15546"
"263","하나편의점","인천 남동구 구월로 281 세븐일레븐편의점내","23","37.455925","126.72196"
"263","예스24","경기 고양시 덕양구 화정동 화정동 977 밀레니엄타워105","31","37.632137","126.83306"
"263","로또","경기 김포시 사우동  872 청원프라자 107","31","37.62242","126.72175"
"264","C-Space 신림녹두","서울 관악구 신림9동  240-3  밀라트빌딩","11","37.486572","126.91299"
"264","미니스톱기장점","부산 기장군 차성동로 69","21","35.243927","129.2165"
"264","천하명당초량점","부산 동구 중앙대로221번길 3","21","35.116898","129.04013"
"264","복권명당","대구 수성구 수성로 337 1층 동북편상가","22","35.85569","128.61345"
"264","LG슈퍼","경기 광명시 연서로 10","31","37.48104","126.863335"
"264","당첨로또복권","경기 안양시 동안구 포도원로 4","31","37.361946","126.96251"
"264","제철로또대리점","전남 광양시 광장로 125 시티프라자A동116호","36","34.935413","127.693985"
"265","한미복권방","서울 강동구 성내1동  550","11","37.529194","127.12381"
"265","교통카드판매대","서울 관악구 신림9동  240-4","11","37.470345","126.93811"
"265","세종장식","서울 양천구 오목로 204","11","37.52534","126.860054"
"265","가로판매(버스카드)","서울 영등포구 여의나루로 42 가로판매점(여의도동)","11","37.52147","126.92497"
"265","동아슈퍼마켓","경기 안산시 단원구 원곡동 748-6","31","37.331112","126.79315"
"265","태흥금방","경기 의정부시 의정로 118","31","37.743553","127.03504"
"265","승일유통","충북 청주시 흥덕구 월명로 42","33","36.63832","127.45375"
"265","에버빌마트","경북 안동시 강남5길 102 에버빌마트 1층","37","36.551132","128.73126"
"266","안목마트","서울 강북구 한천로 1024,(번동)","11","37.639324","127.02814"
"266","라스정보통신","서울 강북구 수유동  256-22  미니스톱내","11","37.646267","127.00816"
"266","월드컵복권방","경기 광주시 경안로 20","24","37.409946","127.2584"
"267","대박예감","경기 화성시 영통로 70 101호","31","37.23632","127.06136"
"267","GS25(천안성정)","충남 천안시 성정동  193-17번지","34","36.79047","127.11704"
"267","로또 코리아북삼점","경북 칠곡군 북삼읍 인평리 인평리 1094-1","37","35.967587","128.41785"
"268","자양사거리 가로매점","서울 광진구 자양로 95","11","37.536224","127.0832"
"268","행운복권방","서울 은평구 연서로 258 상가102호","11","37.619785","126.92332"
"268","공단휴게실","충북 청주시 흥덕구 복대동 100-15번지","33","36.637928","127.442406"
"268","일공공일 안경콘택트","경북 구미시 구미중앙로5길 2,(원평동)","37","36.13032","128.32828"
"268","영덕로또복권","경북 영덕군 덕곡길 128","37","36.412933","129.36562"
"268","사랑의 꽃집","경북 영주시 하망동  247-9","37","36.830154","128.63432"
"268","GS25(창원서광)","경남 창원시 중앙동  1004 서광오피스텔","38","35.22014","128.67592"
"269","버스카드판매대","서울 관악구 신림로 145-2","11","37.47187","126.93328"
"269","스파","서울 노원구 동일로 1493 상계주공아파트(10단지) 주공10단지종합상가111","11","37.66166","127.05787"
"269","제일통신","서울 노원구 중계동  591 대호프라자 1층106","11","37.659782","127.07319"
"269","가판","서울 마포구 마포대로 58 가든호텔정문옆가판","11","37.540684","126.94833"
"269","서울수퍼","서울 중랑구 동일로 809-1,(중화동)","11","37.60269","127.07895"
"270","복권방(천하명당)","서울 성동구 행당로 75 행당동대림아파트 리빙프라자동 지하2층 비202","11","37.55789","127.02709"
"270","GS25(명륜아남)","서울 종로구 혜화로 9","11","37.586414","127.00013"
"270","행운복권","인천 부평구 열우물로 73","23","37.4739","126.69852"
"270","복권명당","충남 공주시 번영1로 41","34","36.471832","127.13313"
"270","훼미리마트월영마을점","경남 창원시 마산합포구 월영남로 21,(해운동)","38","35.17691","128.55867"
"271","팬레코드","부산 남구 수영로 253","21","35.135506","129.09416"
"271","대원슈퍼마켓","부산 수영구 수영로 524","21","35.152473","129.112"
"271","선마트로또점","대구 달서구 월성동  275-2    105","22","35.83159","128.53317"
"271","GS25(안산팔곡)","경기 안산시 상록구 본오동 본오동 741-5 1층 101","31","37.294895","126.87601"
"271","복권나라","충북 청주시 청원구 율봉로176번길 8-2","33","36.668503","127.488235"
"271","로터리편의마트","경북 포항시 북구 서동로 85 육거리","37","36.040768","129.36725"
"272","Yes할인마트","서울 강남구 개포로 202 1층 이마트 24","11","37.478157","127.04497"
"272","대창","서울 강동구 상암로 211 1층","11","37.546654","127.14613"
"272","오거리마트","서울 은평구 응암로14길 6,(응암동)","11","37.590076","126.9179"
"272","훼밀리복권","부산 금정구 중앙대로1719번길 37 우측 복권판매점","21","35.237713","129.09015"
"272","청솔서점","부산 사하구 하신번영로 195","21","35.098824","128.95897"
"272","승리 로또당리점","부산 사하구 당리동  324-19","21","35.096386","128.994"
"272","복권명당","대구 동구 효동로 45,(효목동)","22","35.881493","128.6462"
"272","대박복권방","울산 동구 진성8길 133","26","35.511425","129.42975"
"272","로또판매업","경남 양산시 북정로 31 CU편의점 내","38","35.35902","129.04372"
"273","에스에프마트","울산 북구 동대17길 2","26","35.630302","129.35161"
"273","행운복권마트","경기 포천시 신읍동  58-16","31","37.89491","127.201126"
"273","삼성로또복권방슈퍼","전북 남원시 네마실1길 10-5","35","35.41577","127.38633"
"274","영훈슈퍼마켓","서울 도봉구 덕릉로 222,(창동)","11","37.63781","127.03763"
"274","로또","서울 중구 신당동  133-14","11","37.56378","127.0194"
"274","오렌지마트","부산 사하구 장림번영로 96 105동 101호","21","35.08012","128.97574"
"274","북마산복권전문점","경남 창원시 마산합포구 북성로 98","38","35.215973","128.5708"
